Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
4.901; 4.697; 0; 0.201; 0.003; 0.005; 0.247; 0; 1.35; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 10000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 45.9557; 379.909; 5587.63; N/A; 0; 0; false; properties/0096__ti_k_neighborhood_proj__cup98__dense__10000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_13_49.txt
4.494; 4.197; 0; 0.294; 0.003; 0.005; 0.479; 0; 1.005; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 10000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 45.9557; 384.328; 6681.62; N/A; 0; 0; false; properties/0096__ti_k_neighborhood_proj__cup98__dense__10000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_14_7.txt
10.407; 9.997; 0; 0.408; 0.002; 0.005; 0.448; 0; 0.949; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 10000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 45.9557; 382.381; 6681.62; N/A; 0; 0; false; properties/0096__ti_k_neighborhood_proj__cup98__dense__10000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_14_21.txt
8.608; 8.214; 0; 0.391; 0.003; 0.005; 0.601; 0; 1.157; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 10000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 45.9557; 381.855; 6681.62; N/A; 0; 0; false; properties/0096__ti_k_neighborhood_proj__cup98__dense__10000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_14_42.txt
9.019; 8.676; 0; 0.34; 0.003; 0.005; 0.507; 0; 1.206; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 10000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 45.9557; 382.756; 5587.63; N/A; 0; 0; false; properties/0096__ti_k_neighborhood_proj__cup98__dense__10000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_15_1.txt
137.032; 135.846; 0; 1.176; 0.01; 0.015; 0.975; 0; 5.491; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 30000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 25.2028; 334.931; 8607; N/A; 0; 0; false; properties/0097__ti_k_neighborhood_proj__cup98__dense__30000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_15_20.txt
142.137; 140.494; 0; 1.632; 0.011; 0.015; 1.354; 0; 4.955; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 30000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 25.2028; 328.678; 3846.71; N/A; 0; 0; false; properties/0097__ti_k_neighborhood_proj__cup98__dense__30000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_18_9.txt
141.233; 139.648; 0.001; 1.574; 0.01; 0.015; 1.42; 0; 5.153; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 30000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 25.2028; 332.58; 6248.27; N/A; 0; 0; false; properties/0097__ti_k_neighborhood_proj__cup98__dense__30000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_20_56.txt
32.13; 30.759; 0.001; 1.36; 0.01; 0.017; 1.341; 0; 5.801; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 30000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 25.2028; 334.522; 6248.27; N/A; 0; 0; false; properties/0097__ti_k_neighborhood_proj__cup98__dense__30000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_23_42.txt
86.666; 85.18; 0.001; 1.475; 0.01; 0.015; 1.468; 0; 4.854; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 30000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 25.2028; 333.548; 6248.27; N/A; 0; 0; false; properties/0097__ti_k_neighborhood_proj__cup98__dense__30000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_24_39.txt
334.632; 333.137; 0; 1.476; 0.019; 0.025; 1.905; 0; 10.189; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 50000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 9.34167; 310.181; 3613.21; N/A; 0; 0; false; properties/0098__ti_k_neighborhood_proj__cup98__dense__50000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_26_30.txt
306.227; 303.818; 0.001; 2.394; 0.014; 0.026; 2.284; 0; 9.581; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 50000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 9.34167; 336.037; 5762.22; N/A; 0; 0; false; properties/0098__ti_k_neighborhood_proj__cup98__dense__50000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_32_55.txt
194.273; 191.067; 0.001; 3.185; 0.02; 0.025; 2.308; 0; 9.814; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 50000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 9.34167; 311.112; 6248.27; N/A; 0; 0; false; properties/0098__ti_k_neighborhood_proj__cup98__dense__50000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_38_42.txt
64.44; 61.641; 0.001; 2.779; 0.019; 0.026; 2.095; 0; 9.559; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 50000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 9.34167; 315.317; 7789.28; N/A; 0; 0; false; properties/0098__ti_k_neighborhood_proj__cup98__dense__50000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_42_39.txt
327.844; 324.801; 0.001; 3.023; 0.019; 0.026; 2.379; 0; 9.756; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 50000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 9.34167; 310.181; 3613.21; N/A; 0; 0; false; properties/0098__ti_k_neighborhood_proj__cup98__dense__50000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_44_26.txt
325.374; 323.351; 0; 1.994; 0.029; 0.035; 3.018; 0; 15.669; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 70000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 9.34167; 302.628; 7679.87; N/A; 0; 0; false; properties/0099__ti_k_neighborhood_proj__cup98__dense__70000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_50_38.txt
119.84; 115.828; 0.001; 3.983; 0.028; 0.035; 2.936; 0; 14.83; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 70000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 9.34167; 302.623; 7679.87; N/A; 0; 0; false; properties/0099__ti_k_neighborhood_proj__cup98__dense__70000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_18_57_14.txt
748.856; 744.501; 0.001; 4.326; 0.028; 0.036; 3.207; 0; 15.15; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 70000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 9.34167; 300.137; 7679.87; N/A; 0; 0; false; properties/0099__ti_k_neighborhood_proj__cup98__dense__70000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_19_0_20.txt
719.945; 716.092; 0.001; 3.823; 0.029; 0.035; 3.389; 0; 14.569; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 70000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 9.34167; 298.077; 7905.14; N/A; 0; 0; false; properties/0099__ti_k_neighborhood_proj__cup98__dense__70000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_19_13_52.txt
755.203; 751.116; 0.002; 4.055; 0.03; 0.035; 3.047; 0; 14.478; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 70000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 9.34167; 301.798; 7905.14; N/A; 0; 0; false; properties/0099__ti_k_neighborhood_proj__cup98__dense__70000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_19_26_56.txt
1223.41; 1220.39; 0.001; 2.982; 0.04; 0.045; 3.644; 0; 21.623; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 90000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 7.04129; 292.522; 7905.14; N/A; 0; 0; false; properties/0100__ti_k_neighborhood_proj__cup98__dense__90000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_19_40_34.txt
1189.99; 1185.28; 0.001; 4.672; 0.04; 0.046; 3.9; 0; 21.098; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 90000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 7.04129; 291.787; 7653.55; N/A; 0; 0; false; properties/0100__ti_k_neighborhood_proj__cup98__dense__90000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_20_2_36.txt
383.627; 378.372; 0.001; 5.214; 0.04; 0.046; 3.933; 0; 20.822; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 90000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 7.04129; 285.52; 3260; N/A; 0; 0; false; properties/0100__ti_k_neighborhood_proj__cup98__dense__90000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_20_23_55.txt
580.068; 575.129; 0.002; 4.897; 0.04; 0.045; 4.043; 0; 20.607; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 90000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 7.04129; 288.436; 6064.78; N/A; 0; 0; false; properties/0100__ti_k_neighborhood_proj__cup98__dense__90000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_20_31_50.txt
1209.41; 1204.58; 0.001; 4.779; 0.041; 0.046; 3.853; 0; 21.864; classification; ti_k_neighborhood_ref_projection; true; datasets/dense_d56_r96367_cup98.txt; 90000; 56; 0; dense; [0]; drand; d1; 50; binary; true; 5; 1.41421; 7.04129; 290.132; 7905.14; N/A; 0; 0; false; properties/0100__ti_k_neighborhood_proj__cup98__dense__90000__cos__50__binary_placement__K5__index_access__drand.txt; logs/run_report_2013_2_20_20_42_59.txt
1.047; 1.046; 0; 0.001; 0; 0.002; 0.159; 0; 0.063; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 11698.2; 11698.2; 11698.2; N/A; 0; 0; false; properties/0101__ti_k_neighborhood_proj__karypis_sport__sparse__1000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_4_39.txt
1.049; 1.048; 0; 0.001; 0; 0.002; 0.105; 0; 0.108; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 11698.2; 11698.2; 11698.2; N/A; 0; 0; false; properties/0101__ti_k_neighborhood_proj__karypis_sport__sparse__1000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_4_46.txt
1.051; 1.05; 0; 0.001; 0; 0.002; 0.101; 0; 0.097; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 11698.2; 11698.2; 11698.2; N/A; 0; 0; false; properties/0101__ti_k_neighborhood_proj__karypis_sport__sparse__1000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_4_53.txt
1.056; 1.055; 0; 0.001; 0; 0.002; 0.122; 0; 0.096; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 11698.2; 11698.2; 11698.2; N/A; 0; 0; false; properties/0101__ti_k_neighborhood_proj__karypis_sport__sparse__1000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_4_59.txt
1.056; 1.056; 0; 0; 0; 0.002; 0.101; 0; 0.101; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 11698.2; 11698.2; 11698.2; N/A; 0; 0; false; properties/0101__ti_k_neighborhood_proj__karypis_sport__sparse__1000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_5_6.txt
4.053; 4.052; 0; 0.001; 0; 0.004; 0.211; 0; 0.133; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 8349.57; 8349.57; 8349.57; N/A; 0; 0; false; properties/0102__ti_k_neighborhood_proj__karypis_sport__sparse__2000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_5_12.txt
4.06; 4.059; 0; 0.001; 0; 0.004; 0.214; 0; 0.198; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 8349.57; 8349.57; 8349.57; N/A; 0; 0; false; properties/0102__ti_k_neighborhood_proj__karypis_sport__sparse__2000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_5_22.txt
4.09; 4.089; 0; 0.001; 0; 0.004; 0.21; 0; 0.182; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 8349.57; 8349.57; 8349.57; N/A; 0; 0; false; properties/0102__ti_k_neighborhood_proj__karypis_sport__sparse__2000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_5_33.txt
4.046; 4.045; 0; 0.001; 0; 0.004; 0.214; 0; 0.182; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 8349.57; 8349.57; 8349.57; N/A; 0; 0; false; properties/0102__ti_k_neighborhood_proj__karypis_sport__sparse__2000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_5_43.txt
4.054; 4.052; 0; 0.002; 0; 0.004; 0.215; 0; 0.174; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 8349.57; 8349.57; 8349.57; N/A; 0; 0; false; properties/0102__ti_k_neighborhood_proj__karypis_sport__sparse__2000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_5_53.txt
17.539; 17.536; 0; 0.003; 0; 0.009; 0.488; 0; 0.375; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 12875.6; 12875.6; 12875.6; N/A; 0; 0; false; properties/0103__ti_k_neighborhood_proj__karypis_sport__sparse__4000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_6_3.txt
17.434; 17.429; 0.001; 0.003; 0.001; 0.009; 0.431; 0; 0.607; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 12875.6; 12875.6; 12875.6; N/A; 0; 0; false; properties/0103__ti_k_neighborhood_proj__karypis_sport__sparse__4000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_6_29.txt
17.411; 17.407; 0; 0.004; 0; 0.008; 0.455; 0; 0.544; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 12875.6; 12875.6; 12875.6; N/A; 0; 0; false; properties/0103__ti_k_neighborhood_proj__karypis_sport__sparse__4000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_6_54.txt
17.439; 17.435; 0; 0.004; 0; 0.008; 0.438; 0; 0.561; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 12875.6; 12875.6; 12875.6; N/A; 0; 0; false; properties/0103__ti_k_neighborhood_proj__karypis_sport__sparse__4000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_7_19.txt
17.35; 17.346; 0; 0.004; 0; 0.009; 0.452; 0; 0.536; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 12875.6; 12875.6; 12875.6; N/A; 0; 0; false; properties/0103__ti_k_neighborhood_proj__karypis_sport__sparse__4000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_7_44.txt
39.574; 39.569; 0; 0.004; 0.001; 0.013; 0.727; 0; 0.534; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 12126.1; 12126.1; 12126.1; N/A; 0; 0; false; properties/0104__ti_k_neighborhood_proj__karypis_sport__sparse__6000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_8_9.txt
39.527; 39.521; 0; 0.006; 0; 0.013; 0.693; 0; 0.54; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 12126.1; 12126.1; 12126.1; N/A; 0; 0; false; properties/0104__ti_k_neighborhood_proj__karypis_sport__sparse__6000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_8_57.txt
39.44; 39.432; 0; 0.008; 0; 0.013; 0.685; 0; 0.56; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 12126.1; 12126.1; 12126.1; N/A; 0; 0; false; properties/0104__ti_k_neighborhood_proj__karypis_sport__sparse__6000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_9_45.txt
39.418; 39.412; 0; 0.006; 0; 0.012; 0.722; 0; 0.554; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 12126.1; 12126.1; 12126.1; N/A; 0; 0; false; properties/0104__ti_k_neighborhood_proj__karypis_sport__sparse__6000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_10_33.txt
39.523; 39.518; 0; 0.005; 0; 0.013; 0.701; 0; 0.57; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 12126.1; 12126.1; 12126.1; N/A; 0; 0; false; properties/0104__ti_k_neighborhood_proj__karypis_sport__sparse__6000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_11_20.txt
72.04; 72.035; 0; 0.005; 0; 0.018; 0.988; 0; 0.904; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 8000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 10265.7; 10265.7; 10265.7; N/A; 0; 0; false; properties/0105__ti_k_neighborhood_proj__karypis_sport__sparse__8000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_12_8.txt
71.432; 71.424; 0; 0.007; 0.001; 0.017; 0.985; 0; 1.041; classification; ti_k_neighborhood_ref_projection; true; datasets/sparse_d126373_r8580_karypis_sport.txt; 8000; 126373; 0; sparse; [0]; dmin; d1; 50; binary; true; 5; 1.41421; 10265.7; 10265.7; 10265.7; N/A; 0; 0; false; properties/0105__ti_k_neighborhood_proj__karypis_sport__sparse__8000__cos__50__binary_placement__K5__index_access__dmin.txt; logs/run_report_2013_2_20_21_13_31.txt
